Date,Open,High,Low,Close,Adj Close,Volume
2023-03-15,6.976572,7.117381,6.437794,6.551081,6.551081,395492432
2023-03-16,6.553657,6.685502,6.500079,6.674514,6.674514,226614246
2023-03-17,6.674787,7.258519,6.630300,7.225374,7.225374,375125654
2023-03-18,7.225621,7.298580,6.920907,6.933574,6.933574,314031396
2023-03-19,6.934314,7.286115,6.934314,7.102637,7.102637,249180738
2023-03-20,7.102432,7.407198,6.985551,7.057743,7.057743,489903739
2023-03-21,7.059239,7.433138,6.897485,7.407576,7.407576,366308905
2023-03-22,7.406499,7.697201,7.070046,7.180304,7.180304,586895392
2023-03-23,7.179847,7.629281,7.119135,7.621307,7.621307,329204523
2023-03-24,7.620531,7.646345,7.152147,7.206892,7.206892,295497990
2023-03-25,7.206206,7.251606,6.994295,7.084827,7.084827,193197164
2023-03-26,7.085594,7.284112,7.066759,7.262111,7.262111,165218457
2023-03-27,7.262615,7.271117,6.804009,6.872753,6.872753,230593321
2023-03-28,6.872968,7.020659,6.772368,6.955334,6.955334,211056975
2023-03-29,6.954264,7.458693,6.941706,7.382523,7.382523,297994491
2023-03-30,7.382504,7.528229,7.170125,7.232710,7.232710,279488316
2023-03-31,7.232532,7.655244,7.231266,7.594569,7.594569,340384822
2023-04-01,7.595729,7.627182,7.459665,7.474482,7.474482,183579045
2023-04-02,7.550744,7.550744,7.224246,7.259294,7.259294,188792643
2023-04-03,7.258941,7.427127,7.073147,7.239349,7.239349,295585843
2023-04-04,7.239154,7.469362,7.224438,7.379017,7.379017,248607211
2023-04-05,7.378652,7.596717,7.264024,7.325242,7.325242,290799350
2023-04-06,7.325187,7.326025,7.143193,7.200003,7.200003,194248285
2023-04-07,7.199889,7.292250,7.124458,7.277441,7.277441,134349449
2023-04-08,7.276712,7.293133,7.102264,7.137542,7.137542,114126743
2023-04-09,7.137648,7.249705,7.077762,7.212093,7.212093,114928203
2023-04-10,7.211944,7.363118,7.150140,7.344665,7.344665,169897201
2023-04-11,7.345083,7.443352,7.296270,7.313780,7.313780,188835268
2023-04-12,7.313990,7.361101,7.132034,7.250481,7.250481,195602304
2023-04-13,7.234310,7.524203,7.188987,7.464563,7.464563,227523492
2023-04-14,7.465260,7.878275,7.465260,7.752357,7.752357,416438491
2023-04-15,7.752528,8.045051,7.638180,8.013287,8.013287,303168438
2023-04-16,8.013524,8.159004,7.927695,8.136897,8.136897,284062027
2023-04-17,8.136602,8.268686,7.924433,8.164323,8.164323,460381261
2023-04-18,8.165422,8.728161,8.063428,8.576399,8.576399,512634725
2023-04-19,8.575544,8.583635,7.723606,7.770360,7.770360,543475883
2023-04-20,7.768972,7.947650,7.494382,7.518751,7.518751,392775059
2023-04-21,7.518962,7.583001,7.043487,7.117650,7.117650,340540634
2023-04-22,7.117655,7.224734,7.093590,7.179795,7.179795,179657711
2023-04-23,7.179873,7.180260,6.923753,7.079931,7.079931,208419900
2023-04-24,7.079786,7.252972,7.038752,7.076444,7.076444,222800034
